In1 , In2 , In3 , In4 , Out
1 , 6.85317676705 , 9.49129968024 , 0 , 69.2281228145
1 , 4.62423911793 , 43.9256648572 , 1 , 1046.42434683
0 , 1.80153359819 , 9.37264785451 , 0 , 18.2769024311
0 , 4.90416092797 , 82.2364373023 , 1 , 49.0845720601
1 , 3.66208459476 , 72.7924083971 , 0 , 36.6631366345
1 , 3.90576863903 , 58.4995992413 , 0 , 39.7459318346
1 , 7.65406032286 , 66.0713411081 , 1 , 1077.10951487
0 , 8.00365488142 , 87.1639947526 , 1 , 80.4691797163
1 , 4.04344429447 , 48.6636050257 , 0 , 40.8798231209
1 , 1.91993012899 , 5.08652639316 , 1 , 1019.69039974
1 , 7.49262685755 , 85.0815373357 , 0 , 74.9711114374
0 , 8.51850804651 , 3.22687424984 , 0 , 85.6954825688
0 , 5.7480401763 , 82.0634871335 , 1 , 57.9163295029
1 , 6.03979573531 , 46.9714178073 , 1 , 1060.4104318
1 , 3.77019380212 , 89.2858894702 , 1 , 1038.32010026
0 , 3.63636014361 , 77.0873076651 , 1 , 36.9825800169
1 , 1.45418936357 , 67.4127340515 , 1 , 1015.0958035
0 , 8.59891290884 , 78.745557283 , 0 , 86.6468754886
1 , 5.50269943081 , 16.1783248755 , 1 , 1055.20325611
1 , 6.65840040897 , 9.69008227765 , 0 , 67.1103915229
1 , 1.1006969322 , 63.7224401851 , 0 , 11.3217872239
0 , 8.27317369451 , 43.9194214459 , 1 , 82.8454592289
1 , 6.9622972319 , 78.1801519228 , 1 , 1069.77772577
1 , 6.27314915821 , 33.4211792122 , 0 , 63.2177296132
1 , 5.29776102333 , 34.5690217204 , 1 , 1053.38665783
0 , 0.871455218687 , 68.6553688951 , 1 , 9.04945335569
0 , 1.47599556983 , 34.7413406323 , 1 , 14.8997692572
0 , 1.19551917609 , 14.0065455326 , 1 , 12.0259786557
1 , 5.07431398699 , 13.0935002673 , 1 , 1051.16254946
1 , 5.44012261022 , 43.5480975952 , 0 , 54.6625307354
0 , 8.43800776362 , 50.5215701077 , 0 , 84.7438298159
1 , 4.99598913115 , 84.0279437316 , 0 , 50.1484076856
1 , 0.629327192779 , 1.60954837661 , 1 , 1006.86774673
0 , 8.88904852228 , 10.7768253115 , 1 , 89.2753036261
0 , 2.86304118641 , 23.6957494265 , 0 , 28.9114492776
0 , 2.62532042865 , 28.5825528642 , 1 , 26.6141076076
1 , 4.60899586421 , 88.6583384672 , 0 , 46.6500265165
1 , 4.2815977233 , 52.3450736482 , 1 , 1043.14137472
1 , 1.2516933513 , 92.8144758286 , 1 , 1013.02194403
1 , 6.29508700491 , 81.6740227209 , 1 , 1063.35906585
1 , 9.56109257363 , 86.1733904389 , 1 , 1096.05343893
0 , 1.13265523948 , 62.6031372191 , 1 , 11.888170098
0 , 9.56261909809 , 49.6427872234 , 0 , 95.8398741325
1 , 9.73857013411 , 78.5550746429 , 0 , 97.7838047382
1 , 9.76391837523 , 71.1196657157 , 0 , 97.7541631302
1 , 8.56342751076 , 86.7280573933 , 0 , 85.7045208853
1 , 4.32293518778 , 55.9163299892 , 0 , 43.7914209405
0 , 5.0392039636 , 96.7798701289 , 0 , 50.9230832982
0 , 6.53584377106 , 78.3345451331 , 0 , 65.391464151
1 , 6.09270809683 , 73.7781657973 , 0 , 61.168733921
1 , 8.17546155256 , 91.4545196361 , 0 , 82.0990904301
0 , 8.28538894045 , 24.60605636 , 0 , 83.408039899
0 , 3.35335988945 , 35.527594555 , 0 , 33.9580622778
1 , 4.80828756155 , 12.6720531016 , 1 , 1048.4807133
0 , 9.04599985505 , 22.1645263465 , 0 , 91.0875982171
0 , 2.82916926225 , 89.1866170362 , 1 , 28.567124088
0 , 7.68436028548 , 77.2821538955 , 1 , 76.8469603165
0 , 0.977878733273 , 72.6302245562 , 1 , 10.4156035591
0 , 4.92435639602 , 39.752851262 , 0 , 49.3453963388
1 , 6.44157841056 , 58.1370983569 , 0 , 64.9855145402
1 , 3.31527132404 , 78.4281313155 , 0 , 33.4843881153
1 , 6.30573368293 , 57.7914667028 , 1 , 1063.3675961
0 , 5.8603272912 , 18.5180107697 , 1 , 59.2663639579
0 , 7.35732955628 , 70.0814842536 , 1 , 74.0983529127
0 , 8.29509838482 , 3.95414341664 , 1 , 83.236888486
0 , 6.17588586091 , 77.1924113093 , 0 , 62.1096211812
0 , 1.28535754598 , 13.3306031584 , 0 , 13.4349774626
0 , 5.87654457263 , 45.6878806076 , 1 , 58.8839826021
1 , 2.48100889816 , 75.668171398 , 1 , 1025.46307614
1 , 2.96201251711 , 3.69852595099 , 1 , 1029.80396911
1 , 0.847924521325 , 90.697686454 , 0 , 8.72820510804
0 , 7.42555916679 , 19.8694778007 , 0 , 74.2990808964
0 , 1.44653165105 , 91.8048123413 , 0 , 15.0442196957
0 , 1.3083561474 , 67.7967635213 , 1 , 13.344586768
1 , 3.35895667743 , 86.8888244823 , 1 , 1033.78637405
0 , 6.28389095998 , 66.9334613409 , 1 , 63.0335714941
0 , 3.13884091523 , 37.2097416109 , 1 , 31.5283349636
1 , 2.10876890881 , 16.3237835751 , 1 , 1021.24470453
0 , 1.93170384064 , 31.2048333763 , 0 , 19.3563894818
1 , 9.14575091768 , 90.5360543406 , 1 , 1091.51001029
1 , 6.79260533724 , 14.3218659363 , 0 , 68.5967920366
1 , 1.5008802786 , 34.5688687283 , 0 , 15.048648465
0 , 8.80435120045 , 5.19397526853 , 0 , 88.5065676284
0 , 8.33817816376 , 70.3250150548 , 0 , 83.6923950751
0 , 6.49810577299 , 34.5109509164 , 1 , 65.2984272374
1 , 6.46662869357 , 64.8030224063 , 0 , 65.1093679277
1 , 8.21431534571 , 20.5864541154 , 1 , 1082.70007284
1 , 9.20686552614 , 13.9958606795 , 1 , 1092.42703579
0 , 7.81544420131 , 58.1201019058 , 0 , 78.5076055824
0 , 8.42647096454 , 45.0330903441 , 1 , 84.6481016026
0 , 2.38019246796 , 18.2847158172 , 0 , 23.9191583213
0 , 0.815906054147 , 15.4878450016 , 1 , 8.4099256755
1 , 7.09771614549 , 27.7779982797 , 1 , 1071.1597608
1 , 1.74628758658 , 38.7886966987 , 0 , 17.7534035101
0 , 0.648817846745 , 26.2231126011 , 1 , 6.53351930694
1 , 2.18899851926 , 62.8564985934 , 1 , 1022.53306842
0 , 2.26709329623 , 14.9257458451 , 1 , 22.9015242714
0 , 4.08453092226 , 96.4656269232 , 1 , 40.8947478123
1 , 2.474936297 , 20.6527835197 , 0 , 25.2715707617
0 , 6.70024949111 , 28.9198351662 , 0 , 67.2011973346
0 , 8.63275810908 , 28.1861622612 , 0 , 86.4259220778
1 , 3.85024357505 , 24.988621504 , 0 , 38.823820057
0 , 6.31928799141 , 67.7854244488 , 1 , 63.6294482877
0 , 7.20803276658 , 10.0753146666 , 0 , 72.7031604459
0 , 1.38229845017 , 89.9993362622 , 1 , 13.8762147021
1 , 1.21609357512 , 80.3824613163 , 1 , 1012.4735902
0 , 9.76490876806 , 61.1074425172 , 1 , 97.8538597284
1 , 4.87040191583 , 19.6386171188 , 0 , 49.2979205476
1 , 7.45866829659 , 91.5292669298 , 0 , 75.1274561973
0 , 9.08253304577 , 87.3895821138 , 0 , 91.3944405603
1 , 9.59384644407 , 7.12791453075 , 1 , 1096.60390008
0 , 8.08619256833 , 46.1523013222 , 1 , 81.2547212023
1 , 5.54967517126 , 82.2149496582 , 0 , 55.5323260353
0 , 1.66170710082 , 1.65788106151 , 1 , 17.0030214362
0 , 4.87632104449 , 29.0384220857 , 0 , 49.1638082185
0 , -1 , 48.1516538045 , 1 , 67.9622423947
0 , 9.055923185 , 19.0035381046 , 0 , 90.6707715515
0 , 2.30194687759 , 90.0875713427 , 0 , 23.2022292721
0 , 5.12320433556 , 37.4015584947 , 0 , 51.5322265341
0 , 6.66206964804 , 54.5305023327 , 1 , 66.8004022844
1 , 2.79220221148 , 76.6183625972 , 0 , 27.9725360517
0 , 3.12660205008 , 11.9131683674 , 0 , 31.6720677696
0 , 6.10426959455 , 70.3178197329 , 0 , 61.6519997283
1 , 9.25319629708 , 18.4356496017 , 0 , 92.8861814935
1 , 1.85170351482 , 96.4153151749 , 0 , 19.1119309415
0 , 1.06489929633 , 5.55774654963 , 0 , 11.3484295279
1 , 9.23139962591 , 66.928470449 , 0 , 92.9086463892
0 , 2.13459604934 , 1.4356942741 , 0 , 21.5844843257
1 , 3.7500894843 , 73.0744280517 , 0 , 37.9506591592
0 , 7.51766347632 , 13.9874367809 , 0 , 75.3701812348
0 , 1.15425553504 , 42.3920455119 , 1 , 11.9437106101
0 , 6.8460937566 , 59.0144834868 , 0 , 69.1330797032
0 , 6.8343579245 , 75.3267878002 , 0 , 68.4105333671
0 , 9.28541265555 , 71.8939577258 , 0 , 93.2135585415
1 , 5.4446102467 , 48.0128204976 , 1 , 1054.87619525
1 , 9.04163511939 , 86.8549969037 , 1 , 1090.49035136
1 , 2.70395754574 , 1.79955498938 , 0 , 27.7007477693
1 , 9.42593090111 , 81.3885470631 , 1 , 1094.58886566
0 , 8.43002948385 , 13.9515110454 , 1 , 84.7724049655
0 , 2.24833130559 , 81.5380939236 , 0 , 22.6921951184
0 , 9.51734536349 , 25.6801984432 , 0 , 95.5451731726
0 , 7.69338662957 , 53.5543627017 , 1 , 77.4664123056
0 , 3.20539075471 , 8.80777280726 , 1 , 32.5091217658
1 , 8.79775707528 , 95.0592848175 , 1 , 1088.53006069
1 , 3.95429559303 , 46.6143942234 , 1 , 1039.88691685
1 , 5.35311561172 , 16.3179383122 , 0 , 53.5394999221
0 , 8.07044793958 , 20.413588202 , 0 , 81.3197831507
0 , 1.72888114887 , 35.1256692601 , 0 , 17.9351347982
0 , 3.01072859038 , 69.9110574096 , 1 , 30.2388125644
0 , 4.14652180661 , 22.3642825343 , 0 , 41.526394047
0 , 2.11556897831 , 71.3045624855 , 0 , 21.1791791744
0 , 5.39785344231 , 27.2629500338 , 1 , 54.0567793507
0 , 9.05672930323 , 42.1369489574 , 1 , 90.815343093
0 , 1.80486265091 , 35.966898078 , 1 , 18.0846342967
0 , 7.07556698451 , 56.5613647824 , 1 , 71.1298168732
0 , 9.70080125037 , 76.4375096819 , 0 , 97.2380722393
1 , 1.50485973314 , 51.9216751192 , 1 , 1015.16981771
0 , 6.78737986782 , 26.4719460914 , 1 , 68.2304209928
1 , 6.45287502926 , 0.859640448488 , 0 , 64.5726655409
1 , 2.16233888071 , 5.05769959947 , 0 , 22.0216022355
0 , 6.67951350253 , 51.0692949621 , 1 , 67.1516032087
0 , 3.61530643532 , 71.3550304453 , 1 , 36.6954298652
1 , 7.12653853765 , 96.1396930581 , 1 , 1071.918336
1 , 3.5524315692 , 33.7108444048 , 0 , 35.6942820888
1 , 7.28986226069 , 73.2875330033 , 1 , 1073.42778987
0 , 6.74823890695 , 37.5065383338 , 1 , 68.1786482596
1 , 4.50793612156 , 90.9878747085 , 1 , 1045.49724235
1 , 1.45454449994 , 80.1664020813 , 1 , 1014.87328534
0 , 7.03948090258 , 39.0394627222 , 0 , 70.8886938549
1 , 6.78571356797 , 41.4232655953 , 0 , 68.4052615341
0 , 8.31517974227 , 58.7085501494 , 0 , 83.4725464415
0 , 8.0497505126 , 49.4294024969 , 1 , 80.9089918163
1 , 6.78929795229 , 3.69569303512 , 1 , 1068.37540455
0 , 5.81150470025 , 54.7685519011 , 0 , 58.1669145373
0 , 8.99556462603 , 26.6408086565 , 0 , 90.4275342101
0 , 9.69877841236 , 82.62141604 , 0 , 97.2902360983
0 , 5.99840258712 , 41.2615596977 , 1 , 60.085237017
1 , 7.39905746 , 7.57511011007 , 0 , 74.1967668902
1 , 6.13715704409 , 29.5536619714 , 0 , 61.7144562413
1 , 4.56957955298 , 13.0854923816 , 0 , 45.8147881603
1 , 7.22020925865 , 12.2339524241 , 0 , 72.6318013164
0 , 0.976454211355 , 81.9388238159 , 0 , 9.9708158523
0 , 9.12753539934 , 73.5525095025 , 0 , 91.8186661307
1 , 4.08779805678 , 5.44243041833 , 0 , 41.118673672
0 , 2.14943120088 , 44.0157719041 , 0 , 21.864137189
1 , 2.60334049936 , 48.1142279254 , 0 , 26.4570977136
1 , 2.94424043946 , 6.25434380005 , 0 , 29.8915327234
1 , 8.08038519172 , 16.9169885467 , 1 , 1080.99332529
0 , 2.630766853 , 18.2264472479 , 0 , 26.8979100738
1 , 4.91722084643 , 75.3879845592 , 1 , 1049.48597157
0 , 2.01163457775 , 93.7015296894 , 1 , 20.8028765734
0 , 9.07019900308 , 79.3509066325 , 0 , 91.2402108006
0 , 1.00439594599 , 67.1039011883 , 1 , 10.0752603072
0 , 7.1258597789 , 95.2589296761 , 1 , 71.7116212358
1 , 6.0779274732 , 54.1704850287 , 0 , 61.3828990158
0 , 6.68700183512 , 8.04266833204 , 1 , 66.931258328
0 , 3.27996164984 , 60.0576684968 , 0 , 32.8580608295
1 , 1.84416242146 , 12.817289693 , 0 , 18.5442321724
0 , 9.23174529115 , 0.503299178807 , 0 , 92.7765722702
1 , 8.61884523856 , 94.4239745137 , 1 , 1086.52070485
1 , 8.27015878425 , 48.5004890089 , 0 , 83.0259645641
1 , 7.74111516778 , 36.5249314479 , 1 , 1077.52785895
1 , 9.77804645724 , 2.39040607026 , 1 , 1098.18502683
0 , 1.3155391291 , 4.6822953072 , 0 , 13.5690706232
1 , 1.8520183039 , 68.3972311518 , 1 , 1018.86268344
0 , 9.13984282346 , 90.3658218898 , 0 , 91.8702090885
0 , 0.690754947101 , 30.8214526081 , 1 , 6.99437124574
1 , 5.67023587797 , 74.8843286444 , 1 , 1057.17241617
0 , 8.46139039346 , 35.094840015 , 1 , 85.1170797007
0 , 3.26311033757 , 21.248046782 , 0 , 32.7121335389
0 , 9.28931849575 , 84.3310688211 , 1 , 93.4076315332
0 , 5.17878798076 , 48.6137071648 , 1 , 51.8808311088
0 , 9.81765780245 , 74.3934527004 , 0 , 98.5923060869
1 , 8.09681668094 , 29.2065922719 , 1 , 1081.0497218
1 , 7.57922679319 , 18.4891664035 , 0 , 76.4266437571
0 , 9.64554736089 , 45.8113255656 , 0 , 97.1013185386
1 , 0.820988787621 , 74.810514968 , 1 , 1008.89428289
1 , 1.78264985958 , 56.4816097069 , 0 , 18.2589242994
1 , 1.20486919763 , 21.1612835188 , 1 , 1012.72651785
0 , 9.53239407038 , 7.78058566796 , 0 , 95.9550920183
1 , 2.64385254658 , 77.26577157 , 0 , 26.8519778934
0 , 8.3282220691 , 51.7396448031 , 1 , 83.6430388984
0 , 0.934363523714 , 76.1643352194 , 0 , 9.81506352536
0 , 7.79236813182 , 60.9905845877 , 0 , 78.3595155227
0 , 3.01567615107 , 2.97730594554 , 1 , 30.5417346989
1 , 9.69878585172 , 77.6363807202 , 1 , 1097.48612689
1 , 0.721889905595 , 61.369526073 , 0 , 7.71961363667
0 , 1.00422011522 , 51.6303728006 , 1 , 10.7265770532
1 , 4.65776879666 , 12.9374977306 , 0 , 47.1328505975
1 , 1.50191535905 , 47.3810377125 , 0 , 15.1147921866
1 , 2.75901631099 , 52.6021003881 , 1 , 1027.95468356
0 , 2.83329132867 , 75.9387751017 , 1 , 28.8121586166
0 , 3.92498116124 , 23.5847749324 , 1 , 39.8771273872
0 , 9.46689333441 , 32.3751451472 , 1 , 94.8122028036
0 , 9.05786782753 , 4.32020054052 , 1 , 91.1307616394
0 , 6.09536908264 , 94.0402937848 , 1 , 61.5761428342
0 , 4.44378751743 , 3.80946656146 , 0 , 45.0500284974
0 , 8.08730954437 , 78.02143284 , 1 , 81.4954644634
0 , 1.04168868588 , 47.0475595395 , 1 , 10.7081806137
1 , 8.85575283341 , 9.876473736 , 0 , 89.2234987535
0 , 8.36301786911 , 38.9531996301 , 0 , 83.6599875815
1 , -1 , 45.1800735211 , 1 , 1025.27629801
1 , 7.72244728831 , 56.2321526366 , 0 , 77.518251616
0 , 9.61971353818 , 7.44906122615 , 1 , 96.885543157
1 , 2.27538412386 , 66.866493877 , 1 , 1022.89789794
0 , 5.08869960294 , 19.0308700016 , 0 , 51.2027564951
1 , 1.58982334287 , 53.5761750739 , 1 , 1016.08442598
0 , 9.45845294819 , 47.2218727312 , 0 , 95.1508429495
0 , 9.67807585587 , 85.3915441249 , 1 , 97.1636707965
1 , 9.71321351021 , 2.19444939858 , 1 , 1097.78386037
0 , 4.97169027055 , 49.6311432246 , 1 , 50.0444144722
1 , 2.75777131636 , 80.1789283487 , 1 , 1027.78355648
1 , 0.881288191924 , 95.4199329423 , 1 , 1009.20870779
1 , 8.2028927837 , 3.98940974998 , 0 , 82.3729136898
1 , 6.92950160431 , 87.4383658337 , 0 , 69.5146447834
0 , 9.13682795187 , 36.2735705341 , 0 , 91.789777599
1 , 9.351038311 , 80.7710634954 , 1 , 1094.06642322
0 , 0.98477661059 , 81.5077614257 , 0 , 10.4263230305
1 , 5.28100567875 , 81.1204250787 , 0 , 53.3544355173
1 , 7.2961024014 , 53.690840065 , 0 , 73.3172016021
1 , 9.22239606415 , 13.0439338759 , 0 , 92.9136728393
0 , 3.46208366026 , 62.8419329046 , 0 , 34.6633653146
1 , 9.50481715404 , 23.9028717683 , 1 , 1095.44089959
0 , 4.77403687147 , 73.4097339345 , 1 , 48.3014212127
1 , 6.50965750328 , 4.45842624414 , 1 , 1065.72323133
0 , 4.07432124505 , 25.1641457459 , 1 , 41.1183881166
1 , 7.22877022767 , 14.4856370032 , 1 , 1072.71628648
0 , 1.70101095277 , 52.9510639129 , 1 , 17.4103467051
1 , 1.00930309093 , 65.3221603078 , 1 , 1010.3590758
0 , 4.51880706151 , 14.0572791717 , 1 , 45.517879723
1 , 6.81902847898 , 44.6158466831 , 0 , 68.4292003228
1 , 1.00391871567 , 71.7365862561 , 0 , 10.18901164
1 , 6.69952274199 , 32.9640486837 , 0 , 67.6754703283
0 , 4.30983351624 , 86.6299197299 , 1 , 43.1509611614
1 , 2.54310899994 , 95.5396679764 , 0 , 25.5886067645
1 , 8.26688674219 , 25.9125454364 , 1 , 1083.06816058
0 , 3.83033577186 , 59.9442539207 , 0 , 38.5669895891
1 , 2.16775525533 , 40.76560866 , 0 , 21.8094385894
0 , 5.44934559784 , 85.8104039545 , 0 , 55.0086573346
1 , 8.50832955235 , 46.6342817316 , 0 , 85.7406603367
0 , 2.09517834165 , 4.95117627336 , 0 , 21.2492500066
1 , 6.26909467255 , 23.1371940796 , 1 , 1063.38472448
0 , 9.60048385437 , 40.8699129073 , 1 , 96.4301670988
1 , 9.11644198548 , 69.443555569 , 0 , 91.8587475667
1 , 7.43013242624 , 75.4362079319 , 0 , 74.6001774697
1 , 1.04649413228 , 94.8433051751 , 1 , 1010.80804923
1 , 6.10437692089 , 63.3974201193 , 1 , 1061.54575024
0 , 9.11171334208 , 80.9907328339 , 1 , 91.4959755723
1 , 5.70691327619 , 96.5991206167 , 1 , 1057.73242783
0 , 5.87942409735 , 91.1914416828 , 0 , 59.4521740818
0 , 4.10623300835 , 49.6407567987 , 0 , 41.5417232665
1 , 8.9126384773 , 36.1179431336 , 0 , 89.6975695173
1 , 4.42458971949 , 1.10998550613 , 1 , 1044.31307469
1 , 6.97573981991 , 72.3699452583 , 1 , 1070.02174583
1 , 8.36370272673 , 1.65130849599 , 0 , 83.9494682325
0 , 2.26763734303 , 54.3990455326 , 1 , 22.8756198166
1 , 6.90356621619 , 44.9770029741 , 0 , 69.4019181826
1 , 0.836674340965 , 8.24584256978 , 0 , 9.01259488499
0 , 3.1641963291 , 84.3534507445 , 1 , 32.2332822703
1 , -1 , 66.3228728237 , 0 , 53.7937449389
1 , 7.40445417074 , 80.4087143157 , 0 , 74.5694614214
0 , 4.08974487877 , 81.3768775844 , 0 , 40.9155982243
0 , 6.99179025518 , 85.8188423778 , 0 , 70.2458211762
0 , 6.59292374815 , 57.7965019957 , 0 , 65.9621894373
1 , 3.87267752176 , 5.58001008719 , 0 , 39.4044613935
0 , 8.61077862164 , 5.27125034641 , 1 , 86.2624894771
1 , 6.29481189769 , 9.29678768272 , 1 , 1063.2994785
1 , 9.43353424919 , 25.0319634956 , 1 , 1094.47615142
0 , 4.26696193537 , 16.9673964009 , 1 , 43.1126754071
0 , 3.75363121265 , 81.9233660648 , 0 , 38.0069917631
0 , 4.00294443403 , 67.7893234324 , 1 , 40.3244723114
1 , 1.62861356015 , 19.0048386549 , 0 , 16.9646399376
1 , 2.90999264547 , 52.6042293327 , 1 , 1029.76055752
1 , -1 , 97.2932792037 , 0 , 96.6118305087
0 , 9.44521112894 , 76.7320939837 , 0 , 94.5054098307
1 , 6.99718161761 , 79.6920204247 , 1 , 1070.06722524
0 , 9.53594329478 , 59.4540409955 , 1 , 95.7882721246
0 , 3.44995547279 , 54.2988903967 , 1 , 35.1628775447
1 , 6.89083541511 , 16.6462427016 , 0 , 69.5462462671
0 , 3.9149196988 , 32.0879691092 , 0 , 39.5231582592
0 , 0.695656979364 , 85.1721378623 , 0 , 7.29775139819
0 , 9.11316978002 , 42.5358542601 , 1 , 91.3662826264
0 , 9.68714116322 , 55.3829116338 , 1 , 97.0734333428
0 , 1.37510326684 , 79.8672197187 , 1 , 14.0569504507
1 , 4.5391126218 , 40.3392726047 , 0 , 45.5584786276
0 , 8.51424180304 , 86.3082113905 , 1 , 85.595928379
0 , 2.29945027998 , 40.4410165686 , 1 , 23.1350984118
1 , 5.81436344374 , 53.6198072371 , 1 , 1058.72006114
0 , 3.86555453352 , 48.1183914491 , 1 , 38.8718505604
0 , 6.43689960749 , 81.260380466 , 1 , 64.7473394228
1 , 5.38646265074 , 23.265075156 , 0 , 53.9196377184
0 , 5.40005692389 , 10.5355148294 , 1 , 54.190024954
1 , 5.96435636591 , 29.7745834786 , 1 , 1059.92317939
0 , 8.04016557953 , 51.0582013208 , 0 , 81.0898330503
1 , 9.45906377008 , 44.1631885929 , 1 , 1094.61495726
0 , 9.02159231199 , 39.2324274221 , 1 , 90.5726630806
1 , 5.7472771265 , 66.8203670081 , 0 , 57.7930493295
1 , 8.30566814222 , 11.4179317655 , 0 , 83.0954560626
1 , 7.24116323011 , 59.9721107691 , 0 , 72.7112173329
1 , 8.14767992299 , 38.9299524167 , 1 , 1081.65090256
1 , 5.81927487055 , 81.6697288723 , 1 , 1058.35481408
1 , 1.03014166289 , 90.9851869742 , 0 , 10.9021528391
0 , 6.25820154583 , 0.307841593411 , 1 , 62.8404072054
0 , 2.14870735385 , 19.8049480269 , 1 , 22.1373568714
0 , 9.53555575374 , 71.9649323718 , 0 , 95.7569247131
1 , 0.667405910543 , 87.9307587977 , 0 , 7.23327871412
0 , 5.15173436141 , 47.1988541635 , 1 , 51.5567075526
1 , 8.55021090456 , 32.4319463887 , 1 , 1085.816096
1 , 0.747514059783 , 10.7144227206 , 0 , 7.741378477
0 , 8.73208386225 , 2.38890915164 , 1 , 87.448104108
0 , 8.03123445288 , 61.4215851405 , 0 , 80.6673240515
1 , 4.93288184661 , 82.421218246 , 1 , 1049.53138169
0 , 3.54058802616 , 93.838828815 , 0 , 36.029410533
0 , 7.3639706697 , 30.0512945169 , 1 , 73.7445811452
1 , 0.739517744388 , 50.1200283989 , 0 , 8.06124119688
0 , 4.96098978072 , 30.7671445932 , 0 , 49.7804738455
1 , 7.00676139206 , 52.0055075741 , 1 , 1070.16903373
0 , 7.69538965826 , 65.3207985938 , 0 , 77.3001916311
1 , 8.4264681894 , 66.2836061305 , 1 , 1084.58640617
1 , 6.00525298058 , 36.452194582 , 0 , 60.556003811
